91.0,82.0,79.0,76.0,88.0,85.0,77.0,88.0,82.0,76.0
74.0,77.0,91.0,91.0,72.0,93.0,87.0,100.0,79.0,73.0
73.0,78.0,76.0,85.0,80.0,75.0,83.0,84.0,75.0,77.0
76.0,76.0,84.0,74.0,79.0,73.0,68.0,75.0,81.0,74.0
87.0,89.0,80.0,82.0,84.0,75.0,77.0,85.0,101.0,96.0
76.0,73.0,92.0,87.0,87.0,81.0,82.0,96.0,85.0,84.0
77.0,78.0,77.0,82.0,76.0,87.0,82.0,79.0,84.0,85.0
90.0,88.0,90.0,108.0,82.0,79.0,100.0,93.0,79.0,108.0
87.0,87.0,109.0,86.0,77.0,103.0,79.0,81.0,102.0,100.0
81.0,102.0,80.0,81.0,79.0,88.0,82.0,82.0,79.0,93.0
88.0,86.0,89.0,118.0,84.0,87.0,86.0,88.0,82.0,93.0
106.0,93.0,90.0,97.0,88.0,87.0,89.0,88.0,89.0,91.0
83.0,85.0,97.0,82.0,103.0,88.0,88.0,99.0,84.0,79.0
91.0,89.0,90.0,96.0,107.0,86.0,103.0,84.0,101.0,81.0
95.0,91.0,100.0,85.0,88.0,92.0,81.0,93.0,90.0,84.0
106.0,86.0,103.0,87.0,102.0,93.0,96.0,100.0,86.0,91.0
88.0,91.0,98.0,103.0,97.0,88.0,96.0,82.0,88.0,102.0
87.0,94.0,102.0,107.0,101.0,92.0,88.0,83.0,97.0,89.0
90.0,90.0,99.0,94.0,112.0,103.0,105.0,101.0,122.0,102.0
93.0,98.0,108.0,124.0,98.0,99.0,113.0,98.0,94.0,107.0
95.0,101.0,123.0,98.0,91.0,91.0,93.0,91.0,93.0,101.0
115.0,106.0,121.0,96.0,95.0,123.0,112.0,104.0,101.0,102.0
103.0,107.0,93.0,97.0,140.0,102.0,104.0,106.0,95.0,94.0
109.0,98.0,108.0,107.0,95.0,102.0,99.0,108.0,104.0,102.0
110.0,102.0,106.0,97.0,100.0,98.0,95.0,101.0,93.0,96.0
108.0,98.0,100.0,95.0,100.0,112.0,104.0,103.0,112.0,106.0
98.0,112.0,109.0,98.0,97.0,97.0,105.0,106.0,103.0,97.0
107.0,109.0,102.0,121.0,98.0,121.0,113.0,98.0,108.0,114.0
100.0,98.0,101.0,134.0,118.0,100.0,117.0,115.0,99.0,118.0
98.0,96.0,100.0,98.0,100.0,101.0,100.0,106.0,100.0,99.0
